time,open,high,low,close,volume,day
2026-08-04 09:00:00,14379.0,14425.0,14350.0,14354.0,6874.0,2026-08-04
2026-08-04 09:15:00,14354.0,14362.0,14346.0,14347.0,1747.0,2026-08-04
2026-08-04 09:30:00,14347.0,14365.0,14347.0,14365.0,1504.0,2026-08-04
2026-08-04 09:45:00,14365.0,14374.0,14360.0,14370.0,2804.0,2026-08-04
2026-08-04 10:00:00,14370.0,14388.0,14369.0,14373.0,3537.0,2026-08-04
2026-08-04 10:15:00,14373.0,14384.0,14373.0,14377.0,1655.0,2026-08-04
2026-08-04 10:30:00,14377.0,14380.0,14359.0,14363.0,2349.0,2026-08-04
2026-08-04 10:45:00,14363.0,14379.0,14363.0,14378.0,1122.0,2026-08-04
2026-08-04 11:00:00,14378.0,14389.0,14370.0,14379.0,3048.0,2026-08-04
2026-08-04 11:15:00,14379.0,14385.0,14378.0,14381.0,718.0,2026-08-04
2026-08-04 11:30:00,14381.0,14390.0,14379.0,14379.0,1278.0,2026-08-04
2026-08-04 11:45:00,14379.0,14384.0,14375.0,14378.0,628.0,2026-08-04
2026-08-04 12:00:00,14378.0,14378.0,14371.0,14376.0,1222.0,2026-08-04
2026-08-04 12:15:00,14376.0,14384.0,14375.0,14384.0,613.0,2026-08-04
2026-08-04 12:30:00,14383.0,14388.0,14378.0,14378.0,949.0,2026-08-04
2026-08-04 12:45:00,14378.0,14386.0,14378.0,14380.0,1027.0,2026-08-04
2026-08-04 13:00:00,14380.0,14394.0,14380.0,14386.0,1132.0,2026-08-04
2026-08-04 13:15:00,14386.0,14388.0,14380.0,14382.0,361.0,2026-08-04
2026-08-04 13:30:00,14382.0,14400.0,14382.0,14400.0,3081.0,2026-08-04
2026-08-04 13:45:00,14400.0,14400.0,14385.0,14386.0,819.0,2026-08-04
2026-08-04 14:00:00,14386.0,14389.0,14375.0,14377.0,1193.0,2026-08-04
2026-08-04 14:15:00,14377.0,14377.0,14365.0,14365.0,1439.0,2026-08-04
2026-08-04 14:30:00,14365.0,14368.0,14350.0,14354.0,2470.0,2026-08-04
2026-08-04 14:45:00,14353.0,14365.0,14350.0,14360.0,1326.0,2026-08-04
2026-08-04 15:00:00,14360.0,14366.0,14352.0,14363.0,1560.0,2026-08-04
2026-08-04 15:15:00,14363.0,14370.0,14356.0,14363.0,2120.0,2026-08-04
2026-08-04 15:30:00,14363.0,14366.0,14357.0,14362.0,745.0,2026-08-04
2026-08-04 15:45:00,14363.0,14365.0,14351.0,14355.0,1713.0,2026-08-04
2026-08-04 16:00:00,14355.0,14368.0,14352.0,14368.0,1365.0,2026-08-04
2026-08-04 16:15:00,14368.0,14393.0,14368.0,14378.0,4894.0,2026-08-04
2026-08-04 16:30:00,14378.0,14385.0,14368.0,14385.0,1549.0,2026-08-04
2026-08-04 16:45:00,14385.0,14390.0,14382.0,14389.0,1102.0,2026-08-04
2026-08-04 17:00:00,14389.0,14399.0,14386.0,14398.0,2170.0,2026-08-04
2026-08-04 17:15:00,14398.0,14430.0,14395.0,14420.0,9022.0,2026-08-04
2026-08-04 17:30:00,14418.0,14418.0,14390.0,14396.0,2724.0,2026-08-04
2026-08-04 17:45:00,14396.0,14411.0,14396.0,14405.0,2092.0,2026-08-04
2026-08-04 18:00:00,14404.0,14428.0,14404.0,14411.0,6314.0,2026-08-04
